giggle,[動]くすくす笑う 
projection,[名]投影
pronoun,[名]代名詞
prop,[動]立てかける
propaganda,[名]宣伝
prophet,[名]預言者
prospective,[形]見込みのある
prune,[動]切り払う
pulse,[名]脈拍
punctuality,[名]時間厳守
quaint,[形]古風で趣きのある
qualified,[形]資格のある
quart,[名]クォート
queer,[形]奇妙な、変な
quicken,[動]速める、急がせる
quotation,[名]引用、引用文
raid,[名]急襲
rake,[動]くま手でかきならす
ranch,[名]牧場
rash,[名]発疹
rationality,[名]合理性
rationalize,[動]合理化する
realization,[名]実現、認識
reappear,[動]再び現れる
rebellious,[形]反抗的な、謀反の
recite,[動]暗唱する
reckon,[動]数え上げる、思う
recollect,[動]思い出す
recollection,[名]記憶
reconcile,[動]和解する
reconciliation,[名]和解
reed,[名]葦
referee,[名]審判員
refinement,[名]精練、洗練、上品
refrain,[名]繰り返し語句
regime,[名]政権
regrettable,[形]残念な
rehabilitation,[名]リハビリ
rein,[名]手綱
reinforce,[動]補強する
relay,[名]リレー
reluctance,[名]気が進まないこと
renewal,[名]再開発、再生
reorganize,[動]再編成する
repent,[動]後悔する
reprint,[動]再版する
reproach,[動]非難する
reptile,[名]爬虫類
resistant,[形]耐性のある
respective,[形]それぞれの
respectively,[形]それぞれ
responsive,[形]すぐに反応する
restrictive,[形]制限する
revealing,[形]意味深い
revelation,[名]暴露、発覚
reverence,[名]崇拝
rhetoric,[名]言葉遣い
ridicule,[動]あざ笑う
rim,[名]縁
riot,[名]暴動、騒動
ripen,[動]成熟する
roller,[名]ローラー
rooster,[名]おんどり
rot,[動]腐る
rotation,[名]回転
rotten,[形]腐った
roundabout,[形]回り道の
rouse,[動]目覚めさせる
royalty,[名]著作権料、印税
rug,[名]敷物，じゅうたん
rugged,[形]でこぼこした
rustle,[動]サラサラ鳴る
safeguard,[名]保護、保護手段
saloon,[名]酒場
sane,[形]正気の
sanitary,[形]衛生的な
satire,[名]風刺
scandalous,[形]恥ずべき
scanty,[形]乏しい
scarlet,[名]緋色、緋色の服
scoop,[名]ひしゃく
scornful,[形]軽蔑する、さげすむ
seam,[名]縫い目、継ぎ目
seaman,[名]航海者、水夫
seasonal,[形]季節の
seasoning,[名]調味料
seeker,[名]探求者
selective,[形]選択できる
semifinal,[名]準決勝試合
sensational,[形]人騒がせな
senseless,[形]非常識な、無意味な
sentimental,[形]感傷的な
sergeant,[名]軍曹
sermon,[名]説教
serpent,[名]蛇
setup,[名]配置、組立て
sexuality,[名]性欲、性行為
shabby,[形]見すぼらしい
shadowy,[形]暗い
shaft,[名]柄、矢柄
shawl,[名]ショール，肩掛け
sherry,[名]シェリー酒
shining,[形]光る
shriek,[動]金切り声を出す
shrub,[名]低木
shrug,[動]肩をすくめる
silky,[形]絹のような
simplify,[動]簡素化する
simultaneous,[形]同時の
sip,[動]ちびちび飲む
situate,[動]位置を与える
skim,[動]ざっと読む
skinny,[形]やせこけた
skyline,[名]地平線
slang,[名]俗語
slant,[名]傾斜
slay,[動]殺害する
sleeper,[名]寝台車
slot,[名]細長い穴・溝
slug,[名]ナメクジ
slumber,[動]活動を休止する
sly,[形]ずるい
smog,[名]スモッグ
snail,[名]カタツムリ、巻貝
snare,[名]罠
snore,[動]いびきをかく
socialism,[名]社会主義
sociologist,[名]社会学者
soloist,[名]独奏者
soothe,[動]和らげる
sophomore,[名]2年生
sorrowful,[形]悲しんでいる
souvenir,[名]お土産
sown,[形]宝石をちりばめた
sparkling,[形]火花を発する
spear,[名]槍、やり
specimen,[名]見本、実例
spike,[名]長くぎ
splash,[動]水を撒き散らす
splendor,[名]光彩、立派さ
spoke,[名]スポーク
sponsorship,[名]後援
spontaneous,[形]自発的な
spotted,[形]しみのついた
sprung,[形]バネ入りの
spur,[名]拍車
squash,[動]押しつぶす
stab,[動]突き刺す
stance,[名]足の位置
staple,[名]主要素、主題
stapler,[名]ホチキス
static,[形]静止の
stationery,[名]文房具
statistical,[形]統計の
steadfast,[形]確固とした
steward,[名]客室係
stiffen,[動]堅くする
stopper,[名]栓
storehouse,[名]倉庫
storekeeper,[名]店主
stout,[形]肥満した
straightforward,[形]まっすぐな
strand,[名]織り糸
striker,[名]ストライキ参加者
stylistic,[形]文体論の
subdue,[動]征服する
subjective,[形]主観の
sublime,[形]崇高な
submarine,[名]潜水艦
submission,[名]服従、従順
subscription,[名]定期購読
subsequent,[形]その後の
subsequently,[副]その後
subsidiary,[形]補助の
subsidy,[名]補助金、交付金
subtract,[動]引き算をする
sullen,[形]不機嫌な
summarize,[動]要約する
sunbeam,[名]太陽光線
sunk,[動]sinkの過去分詞形
superb,[形]素晴らしい
supernatural,[名]超自然のもの
superpower,[名]超大国
superstition,[名]迷信
supervise,[動]監督する
supplier,[名]供給者
supportive,[形]支持となる
suppression,[名]抑圧、鎮圧
surpass,[動]越える
surplus,[名]余り、過剰
suspension,[名]停学、支払い停止
swarm,[名]大群
sweeten,[動]甘くする
sweetie,[名]恋人、かわいいもの
swelling,[名]隆起
symbolize,[動]表す、象徴化する
symposium,[名]酒宴、討論会
takeout,[名]持ち帰り用の食物
talkative,[形]話し好きな
tan,[動]日焼けする
tanker,[名]タンカー
tariff,[名]関税
tasteful,[形]上品な、趣きのある
tearful,[形]涙もろい
tedious,[形]退屈な
telecommunications,[名]電気通信
teller,[名]窓口係
temperate,[形]温暖な
tempest,[名]大騒ぎ，騒動
temporarily,[副]一時的に、仮に
territorial,[形]領土の
testify,[動]証言する
textile,[名]織物
texture,[名]織り方，織地
thaw,[動]雪が溶ける
theoretical,[形]理論的な
thereafter,[副]その後は
thesis,[名]論文
thicken,[動]厚くする、濃くする
thicket,[名]雑木林
thigh,[名]大腿
thoughtless,[形]思慮を欠く
threshold,[名]敷居、入口、発端
thrive,[動]成功する、繁栄する
thunderstorm,[名]激しい雷雨
tidal,[形]潮の
tile,[名]タイル、かわら
timber,[名]木材
timer,[名]タイマー
timing,[名]タイミング
tireless,[形]疲れを知らない
tiresome,[形]退屈な
toil,[動]骨折って働く
tolerable,[形]我慢できる
tolerance,[名]寛容、度量
tolerant,[形]寛大な
toll,[名]通行料
tradesman,[名]商人
trainee,[名]軍事訓練をうける人
traitor,[名]裏切者　
tram,[名]路面電車
tramp,[動]どしんどしんと歩く
trample,[動]踏み付ける
tranquil,[形]落ち着いた、静かな
traveling,[形]旅行する
treasurer,[名]財務部長
tribute,[名]賛辞、ささげ物
tricky,[形]手の込んだ
trifle,[名]つまらないもの
trustee,[名]管財人
tumble,[動]転ぶ
turnover,[動]ひっくり返る
twig,[名]小枝
tyranny,[名]圧制、横暴
tyrant,[名]専制君主
unanimous,[形]満場一致の
unchanged,[形]不変の
understandable,[形]理解できる
undertaking,[名]約束
undesirable,[形]好ましくない
unhealthy,[形]不健康な
uniformity,[名]均一性
unofficial,[形]非公式な
unpopular,[形]人気のない
unpredictable,[形]予知できない
unskilled,[形]未熟な
unsure,[形]確信のない
update,[動]最新のものにする
uphill,[形]上り坂の
uphold,[動]支持する
usage,[名]利用、使用量
utensil,[名]家庭用品、器具
utterance,[名]発言
vacancy,[名]空室、空き
vaguely,[副]ぼんやりと
valve,[名]弁
vapor,[名]蒸気
variable,[形]変わりやすい
vein,[名]静脈
verbal,[形]言葉の
vertical,[形]垂直の
vibrate,[動]震える
victor,[名]勝利者、勝者
virtually,[副]実質的には
virtuous,[形]有徳の、貞淑な
vocation,[名]天職、使命
vulgar,[形]下品な、低俗な
wallpaper,[名]壁紙
wanderer,[  ]放浪者
ware,[名]瀬戸物、陶器
warfare,[名]交戦状態、戦争
warring,[形]敵対する
washcloth,[名]洗面用タオル
watering,[名]散水
waver,[動]揺れる
weary,[形]疲れた
weird,[形]変な、奇妙な
westward,[形]西に向かう
wheelchair,[名]車いす
wholesale,[名]卸し売り
wholesome,[形]健康そうな、健全な
willow,[名]柳
wintertime,[名]冬季
wither,[動]枯れる、萎える
withstand,[動]耐える
witty,[形]機知に富む
wreath,[名]花輪
wreck,[名]難破
wrestling,[名]レスリング
wretched,[形]惨めな
wring,[動]絞る
yarn,[名]糸
zeal,[名]熱意
zealous,[形]熱心な
zip,[動]ファスナーを締める 
